atr14,body_fraction,candles_held,close_timestamp_ms,direction,entry_fee,entry_slippage,entry_slippage_bps,entry_spread_bps,entry_timestamp_ms,entry_type,equity_after,equity_before,escape_close,escape_distance_atr,escape_extreme,escape_threshold,executed_entry,exit_slippage,fill_status,fill_timestamp,final_exit_fee,final_exit_price,final_exit_reason,final_target_price,gap_from_signal_close,gross_pnl,htf_ema20,htf_ema50,htf_relationship,initial_quantity,initial_stop,intrabar_ambiguous,intrabar_policy_used,manual_category,net_pnl,notional,prior_range_high,prior_range_low,r_multiple,raw_quantity,reentry_close,reentry_distance_atr,reentry_index,reentry_threshold,rejection_reason,requested_entry,risk_budget,risk_policy,signal_close,signal_timestamp,signal_timestamp_ms,spread_cost,stop,stop_after_tp1,stop_distance,stop_distance_atr,stop_distance_pct,strategy,suppression_reason,symbol,timed_exit,timeframe,total_fees,tp1_distance_bps,tp1_executed_price,tp1_fee,tp1_price,tp1_quantity
0.024849999999999976,0.5330812854442327,2,1721206800000,LONG,0.02099928744,0.007919000000002644,2.0,4.0,1721205000000,MARKET,999.44040956668,1000.0,2.1802,0.26156941649899224,2.1785,2.184215,2.2098,0.02217320000000459,FILLED,1721205000000,0.020688545879999996,2.1771,STOP_LOSS,2.2723999999999998,0.0,-0.5179026000000028,2.2009437331194004,2.1051478896733884,EMA20_ABOVE_EMA50,15.838,2.1785,False,CONSERVATIVE,LONG_SETUP,-0.5595904333200028,34.9988124,2.2753,2.1867,-0.07461205777600037,239.61661341853124,2.2084,0.8732394366197213,225,2.1904275,,2.2084,7.5,PREREGISTERED_RESEARCH_ONLY,2.2084,1721204100000,1721204100000,0.014254199999994912,2.1785,0.0,0.029900000000000038,1.203219315895375,1.3539213910523473,failed_range_escape_reversal_v1,,WIFUSDT,False,15m,0.04168783331999999,162.47056692628166,0.0,0.0,2.24736,0.0
0.003966428571428573,0.9189944134078326,1,1721236500000,LONG,0.0209999475,0.007927499999999128,2.0,4.0,1721235600000,MARKET,999.0339634706801,999.44040956668,0.43792,0.5067531064289601,0.4372,0.43953335714285713,0.4415,0.023782499999997382,FILLED,1721235600000,0.020781148500000002,0.4369,STOP_LOSS,0.45010000000000006,0.0,-0.36466499999999946,0.4450685553130165,0.44198365485591584,EMA20_ABOVE_EMA50,79.275,0.4372,False,CONSERVATIVE,LONG_SETUP,-0.4064460959999995,34.9999125,0.4559,0.43993,-0.05422315555911523,1743.2100166860594,0.44121,0.3227084458851079,259,0.44052496428571425,,0.44121,7.4958030717501005,PREREGISTERED_RESEARCH_ONLY,0.44121,1721234700000,1721234700000,0.015062250000001862,0.4372,0.0,0.0040100000000000136,1.0109850531244402,0.908864259649603,failed_range_escape_reversal_v1,,ADAUSDT,False,15m,0.041781096000000004,109.06371115795235,0.0,0.0,0.44666000000000006,0.0
0.2654285714285715,0.8810810810810801,8,1721242800000,LONG,0.02098388034,0.00691350000000175,2.0,4.0,1721235600000,MARKET,999.1509108037001,999.0339634706801,27.48,0.32777179763186115,27.417,27.540457142857143,27.8227,0.021117599999999907,FILLED,1721235600000,0.02107928664,27.9492,TIME_EXIT,28.6341,0.0,0.15901050000000005,28.290784356451603,27.964072908375986,EMA20_ABOVE_EMA50,1.257,27.417,False,CONSERVATIVE,LONG_SETUP,0.11694733302000006,34.9731339,28.629,27.567,0.015608055687946223,18.46870772992386,27.806,0.9004305705059229,259,27.606814285714286,,27.806,7.492754726030101,PREREGISTERED_RESEARCH_ONLY,27.806,1721234700000,1721234700000,0.014078399999998449,27.417,0.0,0.38899999999999935,1.4655543595263696,1.3989786377040903,failed_range_escape_reversal_v1,,AVAXUSDT,True,15m,0.04206316698,167.8774365244908,0.0,0.0,28.309540000000002,0.0
0.02400714285714283,0.5953307392996218,4,1721270700000,SHORT,0.02099928858,0.007869500000002628,2.0,4.0,1721267100000,MARKET,999.33014919806,999.0877560425,2.2404,0.366557572151161,2.2608,2.234000714285714,2.2237,0.021232947359999477,FILLED,1721267100000,0.012593007360000002,2.2224,BREAK_EVEN_STOP,2.1494999999999997,0.0,0.28422120000000156,2.180553412754863,2.139591281800799,EMA20_ABOVE_EMA50,15.739,2.2608,False,CONSERVATIVE,SHORT_SETUP,0.24239315556000157,34.9988143,2.2316,2.1555,0.03234859722034807,201.97191833743187,2.2251,0.2707527521570943,294,2.2279989285714286,,2.2251,7.4931581703187495,PREREGISTERED_RESEARCH_ONLY,2.2251,1721266200000,1721266200000,0.014165099999994947,2.2608,2.22103156,0.03570000000000029,1.4870574233859106,1.6044222731562756,failed_range_escape_reversal_v1,,WIFUSDT,False,15m,0.04182804444,192.5306727787531,2.1805,0.008235748499999999,2.1791799999999997,6.295
0.9101499999999996,0.5885887454934962,3,1721271600000,SHORT,0.020928258,0.006983599999999427,2.0,4.0,1721268900000,MARKET,998.979127194,999.33014919806,159.0513,0.2280942701752296,159.1326,158.934715,157.83,0.021105500000003417,FILLED,1721268900000,0.02111364606,159.2281,STOP_LOSS,155.22480000000004,0.0,-0.30898009999999987,158.14039629958083,157.8767936082026,EMA20_ABOVE_EMA50,0.221,159.1326,False,CONSERVATIVE,SHORT_SETUP,-0.3510220040599999,34.880430000000004,158.8437,154.6481,-0.04683430587201333,5.75385852831686,157.9248,1.0096137999230987,296,158.7071775,,157.9248,7.494976118985449,PREREGISTERED_RESEARCH_ONLY,157.9248,1721268000000,1721268000000,0.013967199999998854,159.1326,0.0,1.2077999999999918,1.3270340053837195,0.7647943831494431,failed_range_escape_reversal_v1,,SOLUSDT,False,15m,0.04204190406,91.77532597793316,0.0,0.0,156.26688000000004,0.0
0.004722142857142857,0.7666068222621227,8,1721313000000,SHORT,0.020999715839999995,0.008262400000003675,2.0,4.0,1721305800000,MARKET,999.8721652682399,999.3908360910399,0.85206,0.7094236877930881,0.85518,0.8491822142857143,0.8472,0.022903344000001807,FILLED,1721305800000,0.012375656879999999,0.8321,TIME_EXIT,0.8312399999999998,0.0,0.5230148000000001,0.848622642071831,0.8497928970410604,EMA20_BELOW_EMA50,41.312,0.85518,False,CONSERVATIVE,SHORT_SETUP,0.4813291772000001,34.99952639999999,0.84871,0.83633,0.06421634190452036,939.2771015893117,0.84779,0.19482680381181203,337,0.8480016785714285,,0.84779,7.495431270682799,PREREGISTERED_RESEARCH_ONLY,0.84779,1721304900000,1721304900000,0.01611168000000006,0.85518,0.8461833599999999,0.007390000000000008,1.5649674784450176,0.8716781278382627,failed_range_escape_reversal_v1,,SUIUSDT,True,15m,0.04168562279999999,104.60137534059152,0.8382,0.00831025008,0.8376239999999998,16.524
0.02400714285714283,0.5953307392996218,4,1721270700000,SHORT,0.02099928858,0.007869500000002628,2.0,4.0,1721267100000,MARKET,999.33014919806,999.0877560425,2.2404,0.366557572151161,2.2608,2.234000714285714,2.2237,0.021232947359999477,FILLED,1721267100000,0.012593007360000002,2.2224,BREAK_EVEN_STOP,2.1494999999999997,0.0,0.28422120000000156,2.180553412754863,2.139591281800799,EMA20_ABOVE_EMA50,15.739,2.2608,False,CONSERVATIVE,TP1_PLUS_BREAK_EVEN,0.24239315556000157,34.9988143,2.2316,2.1555,0.03234859722034807,201.97191833743187,2.2251,0.2707527521570943,294,2.2279989285714286,,2.2251,7.4931581703187495,PREREGISTERED_RESEARCH_ONLY,2.2251,1721266200000,1721266200000,0.014165099999994947,2.2608,2.22103156,0.03570000000000029,1.4870574233859106,1.6044222731562756,failed_range_escape_reversal_v1,,WIFUSDT,False,15m,0.04182804444,192.5306727787531,2.1805,0.008235748499999999,2.1791799999999997,6.295
0.024849999999999976,0.5330812854442327,2,1721206800000,LONG,0.02099928744,0.007919000000002644,2.0,4.0,1721205000000,MARKET,999.44040956668,1000.0,2.1802,0.26156941649899224,2.1785,2.184215,2.2098,0.02217320000000459,FILLED,1721205000000,0.020688545879999996,2.1771,STOP_LOSS,2.2723999999999998,0.0,-0.5179026000000028,2.2009437331194004,2.1051478896733884,EMA20_ABOVE_EMA50,15.838,2.1785,False,CONSERVATIVE,FULL_STOP,-0.5595904333200028,34.9988124,2.2753,2.1867,-0.07461205777600037,239.61661341853124,2.2084,0.8732394366197213,225,2.1904275,,2.2084,7.5,PREREGISTERED_RESEARCH_ONLY,2.2084,1721204100000,1721204100000,0.014254199999994912,2.1785,0.0,0.029900000000000038,1.203219315895375,1.3539213910523473,failed_range_escape_reversal_v1,,WIFUSDT,False,15m,0.04168783331999999,162.47056692628166,0.0,0.0,2.24736,0.0
0.2654285714285715,0.8810810810810801,8,1721242800000,LONG,0.02098388034,0.00691350000000175,2.0,4.0,1721235600000,MARKET,999.1509108037001,999.0339634706801,27.48,0.32777179763186115,27.417,27.540457142857143,27.8227,0.021117599999999907,FILLED,1721235600000,0.02107928664,27.9492,TIME_EXIT,28.6341,0.0,0.15901050000000005,28.290784356451603,27.964072908375986,EMA20_ABOVE_EMA50,1.257,27.417,False,CONSERVATIVE,MAXIMUM_HOLD,0.11694733302000006,34.9731339,28.629,27.567,0.015608055687946223,18.46870772992386,27.806,0.9004305705059229,259,27.606814285714286,,27.806,7.492754726030101,PREREGISTERED_RESEARCH_ONLY,27.806,1721234700000,1721234700000,0.014078399999998449,27.417,0.0,0.38899999999999935,1.4655543595263696,1.3989786377040903,failed_range_escape_reversal_v1,,AVAXUSDT,True,15m,0.04206316698,167.8774365244908,0.0,0.0,28.309540000000002,0.0
0.003642857142857146,0.7586206896551618,,,LONG,,,,,1731166200000,,,,0.4324,0.16470588235293812,0.4314,0.4326357142857143,,,,,,,,,,,0.4366468393497741,0.42272589684248363,EMA20_ABOVE_EMA50,,,,,SUPPRESSION,,,0.4449,0.433,,,0.4346,0.43921568627450674,11293,0.43354642857142855,,0.4346,,,0.4346,,1731165300000,,0.4314,,0.0031999999999999806,0.8784313725490135,0.7363092498849472,failed_range_escape_reversal_v1,ACTIVE_SAME_SYMBOL,ADAUSDT,,,,88.35710998619366,,,,
0.0035157142857142887,0.7877906976744161,,,LONG,,,,,1721586600000,,,,0.42084,0.8078017066233257,0.41586,0.42332842857142855,,,,,,,,,,,0.43168269774236956,0.4327846619262677,EMA20_BELOW_EMA50,,,,,STOP_DISTANCE_REJECTION,,,0.4342,0.42368,,,0.42626,0.733848029256391,,0.4242073571428571,STOP_DISTANCE_GT_2_ATR,0.42626,,,0.42626,,1721585700000,,0.41586,,0.010399999999999965,2.958147094676948,2.4398254586402586,failed_range_escape_reversal_v1,,ADAUSDT,,,,292.77905503683104,,,,
